URL,Filesize,Number of Outgoing links,Content type
http://www.latimes.com/opinion/op-ed/la-oe-boot-gop-must-investigate-kremlingate-20170214-story.html,242850,82,text/html;charset=UTF-8
http://www.latimes.com/sports/la-sp-letters-20170217-story.html,191989,77,text/html;charset=UTF-8
http://www.latimes.com/entertainment/envelope/92423385-132.html,161421,42,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-ucla-basketball-20170130-story.html,236257,68,text/html;charset=UTF-8
http://www.latimes.com/entertainment/tv/,366099,161,text/html;charset=UTF-8
http://www.latimes.com/local/lanow/la-me-ln-robert-durst-secret-witness-20170216-story.html,246993,81,text/html;charset=UTF-8
http://www.latimes.com/entertainment/music/,369171,150,text/html;charset=UTF-8
http://www.latimes.com/business/la-fi-spacex-launch-20170219-story.html,235138,76,text/html;charset=UTF-8
http://www.latimes.com/local/weather/?regionalZipCode=93101,218477,81,text/html;charset=UTF-8
http://www.latimes.com/health/la-he-la-walks-mentryville-20170215-story.html,1484225,61,text/html;charset=UTF-8
http://www.latimes.com/books/la-et-jc-world-read-aloud-day-20170216-story.html,239613,57,text/html;charset=UTF-8
http://www.latimes.com/projects/grade-the-president/,993939,45,text/html
http://www.latimes.com/local/moments/la-me-scm-conductor-union-station-20160113-story.html,180591,62,text/html;charset=UTF-8
http://www.latimes.com/food/,392735,152,text/html;charset=UTF-8
http://www.latimes.com/topic/business/transportation-industry/air-transportation-industry/united-continental-holdings-ORCRP017350-topic.html,198737,112,text/html;charset=UTF-8
http://www.latimes.com/business/hollywood/la-fi-ct-oscar-abc-ads-20170217-story.html,234617,61,text/html;charset=UTF-8
http://www.latimes.com/sports/la-sp-ucla-recruiting-elijah-gates-2017-class-20170124-story.html,186169,67,text/html;charset=UTF-8
http://www.latimes.com/local/california/la-me-lopez-ainsworth-0219-story.html,250219,77,text/html;charset=UTF-8
http://www.latimes.com/sports/more/la-sp-ncaa-basketball-tournament-20170211-story.html,187697,68,text/html;charset=UTF-8
http://www.latimes.com/sports/la-sp-usc-ucla-plaschke-20170218-story.html,266128,71,text/html;charset=UTF-8
http://www.latimes.com/science/sciencenow/la-sci-sn-robot-bees-20170209-story.html,235613,80,text/html;charset=UTF-8
http://www.latimes.com/world/mexico-americas/la-fg-ecuador-election-20170218-story.html,238799,76,text/html;charset=UTF-8
http://www.latimes.com/local/lanow/la-me-sb-terror-plot-20170214-story.html,254579,89,text/html;charset=UTF-8
http://www.latimes.com/sports/latest/,280873,126,text/html;charset=UTF-8
http://www.latimes.com/nation/la-na-dreamer-daca-deportation-20170217-story.html,256343,77,text/html;charset=UTF-8
http://www.latimes.com/books/jacketcopy/la-et-jc-philip-pullman-20170215-story.html,230726,60,text/html;charset=UTF-8
http://www.latimes.com/world/mexico-americas/la-fg-mexico-us-factories-20170217-htmlstory.html,151237,54,text/html;charset=UTF-8
http://www.latimes.com/local/weather/?regionalZipCode=91764,225566,81,text/html;charset=UTF-8
http://www.latimes.com/world/europe/la-fg-sweden-trump-20170219-story.html,238422,78,text/html;charset=UTF-8
http://www.latimes.com/local/lanow/la-live-powerful-storms-moving-l-area-20170216-htmlstory.html,314952,68,text/html;charset=UTF-8
http://www.latimes.com/business/la-fi-travel-briefcase-bizarre-pilot-20170218-story_amp.html,49497,19,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-ucla-oregon-state-20170212-story.html,239623,69,text/html;charset=UTF-8
http://www.latimes.com/fashion/la-ig-wwd-laudree-beverly-hills-jimmy-choo-20170217-story.html,222531,65,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-ucla-basketball-20170131-story.html,235558,69,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-ucla-ohio-state-20161217-story.html,197672,65,text/html;charset=UTF-8
http://www.latimes.com/sports/more/la-sp-college-basketball-20170126-story.html,185725,81,text/html;charset=UTF-8
http://www.latimes.com/travel/deals/la-tr-vegas-karaoke-headliners-20170209-story.html,237250,71,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-ucla-washington-state-20170201-story.html,225604,66,text/html;charset=UTF-8
http://www.latimes.com/nation/la-na-immigration-raids-20170213-story.html,245754,78,text/html;charset=UTF-8
http://www.latimes.com/opinion/opinion-la/la-ol-gorsuch-gay-friends-republican-20170217-story.html,251051,94,text/html;charset=UTF-8
http://www.latimes.com/local/weather/?regionalZipCode=91401,222295,81,text/html;charset=UTF-8
http://www.latimes.com/business/86492952-132.html,162354,45,text/html;charset=UTF-8
http://www.latimes.com/health/,290925,132,text/html;charset=UTF-8
http://www.latimes.com/local/moments/la-me-scm-above-the-freeway-20160125-story.html,171027,53,text/html;charset=UTF-8
http://www.latimes.com/sports/lakers/la-sp-magic-lakers-plaschke-20170216-story.html,231792,81,text/html;charset=UTF-8
http://www.latimes.com/entertainment/tv/la-et-st-witherspoon-kidman-big-little-lies-20170219-story.html,248472,56,text/html;charset=UTF-8
http://www.latimes.com/politics/la-na-pol-trump-news-conference-20170216-story.html,243693,84,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-ucla-colorado-20170112-story.html,182271,63,text/html;charset=UTF-8
http://www.latimes.com/local/education/,216138,69,text/html;charset=UTF-8
http://www.latimes.com/sports/more/la-sp-washington-ucla-power-outage-20170108-story.html,174205,55,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-southland-basketball-20170210-story.html,181907,62,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-ucla-ohio-state-20161216-story.html,184203,67,text/html;charset=UTF-8
http://www.latimes.com/travel/deals/la-tr-films-20170219-story.html,212394,58,text/html;charset=UTF-8
http://www.latimes.com/entertainment/music/la-et-ms-grammy-awards-20170212-story.html,272314,61,text/html;charset=UTF-8
http://www.latimes.com/local/lanow/la-me-oroville-flooding-rain-20170219-story.html,249105,75,text/html;charset=UTF-8
http://www.latimes.com/entertainment/arts/la-et-cm-circus-1903-7-digits-review-20170219-htmlstory.html,188952,50,text/html;charset=UTF-8
http://www.latimes.com/local/moments/la-me-scm-the-sight-of-a-century-20160203-story.html,173583,56,text/html;charset=UTF-8
http://www.latimes.com/sports/highschool/varsity-times/92578883-132.html,158731,43,text/html;charset=UTF-8
http://www.latimes.com/fashion/la-ig-wwd-melania-trump-karl-lagerfeld-20170215-story.html,222812,70,text/html;charset=UTF-8
http://www.latimes.com/business/hollywood/,307624,107,text/html;charset=UTF-8
http://www.latimes.com/science/sciencenow/la-sci-sn-crispr-patent-decision-20170215-story.html,257425,81,text/html;charset=UTF-8
http://www.latimes.com/entertainment/movies/la-et-mn-oscars-governors-ball-preview-20170216-story.html,225727,61,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-ucla-basketball-20170104-story.html,183213,64,text/html;charset=UTF-8
http://www.latimes.com/sports/clippers/la-sp-clippers-report-20161204-story.html,196044,74,text/html;charset=UTF-8
http://www.latimes.com/entertainment/tv/la-et-st-crashing-review-20170218-story.html,228795,54,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-ucla-ranking-20161205-story.html,228222,70,text/html;charset=UTF-8
http://www.latimes.com/food/dailydish/,243425,44,text/html;charset=UTF-8
